publisher,title,categories,url
아시아경제,경제,economy,https://www.asiae.co.kr/rss/economy.htm
아시아경제,부동산,realestate,https://www.asiae.co.kr/rss/realestate.htm
아시아경제,산업IT,industry|it,https://www.asiae.co.kr/rss/industry-IT.htm
아시아경제,정치,politics,https://www.asiae.co.kr/rss/politics.htm
아시아경제,사회,society,https://www.asiae.co.kr/rss/society.htm
아시아경제,국제,international,https://www.asiae.co.kr/rss/world.htm
아시아경제,문화라이프,culture,https://www.asiae.co.kr/rss/life.htm
아시아경제,오피니언,opinion,https://www.asiae.co.kr/rss/opinion.htm
이데일리,전체뉴스,_all_,http://rss.edaily.co.kr/edaily_news.xml
이데일리,주식펀드,stock,http://rss.edaily.co.kr/stock_news.xml
이데일리,경제정책,economy,http://rss.edaily.co.kr/economy_news.xml
이데일리,금융,finance,http://rss.edaily.co.kr/finance_news.xml
이데일리,채권외환,finance,http://rss.edaily.co.kr/bondfx_news.xml
이데일리,기업,industry,http://rss.edaily.co.kr/enterprise_news.xml
이데일리,국제,international,http://rss.edaily.co.kr/world_news.xml
이데일리,부동산,realestate,http://rss.edaily.co.kr/realestate_news.xml
이데일리,문화생활,culture,http://rss.edaily.co.kr/happypot_news.xml
이데일리,칼럼,opinion,http://rss.edaily.co.kr/edaily_column.xml
머니투데이,최신기사,_all_,https://rss.mt.co.kr/mt_news.xml
파이낸셜뉴스,전체기사,_all_,https://www.fnnews.com/rss/r20/fn_realnews_all.xml
파이낸셜뉴스,경제,economy,https://www.fnnews.com/rss/r20/fn_realnews_economy.xml
파이낸셜뉴스,증권,stock,https://www.fnnews.com/rss/r20/fn_realnews_stock.xml
파이낸셜뉴스,금융,finance,https://www.fnnews.com/rss/r20/fn_realnews_finance.xml
파이낸셜뉴스,부동산,realestate,https://www.fnnews.com/rss/r20/fn_realnews_realestate.xml
파이낸셜뉴스,산업,industry,https://www.fnnews.com/rss/r20/fn_realnews_industry.xml
파이낸셜뉴스,IT,it,https://www.fnnews.com/rss/r20/fn_realnews_it.xml
파이낸셜뉴스,국제,international,https://www.fnnews.com/rss/r20/fn_realnews_international.xml
파이낸셜뉴스,정치,politics,https://www.fnnews.com/rss/r20/fn_realnews_politics.xml
파이낸셜뉴스,사회,society,https://www.fnnews.com/rss/r20/fn_realnews_society.xml
파이낸셜뉴스,사설칼럼,opinion,https://www.fnnews.com/rss/r20/fn_realnews_column.xml
파이낸셜뉴스,교육,society,https://www.fnnews.com/rss/r20/fn_realnews_edu.xml
파이낸셜뉴스,의학과학,it,https://www.fnnews.com/rss/r20/fn_realnews_medical.xml
파이낸셜뉴스,연예,entertainment,https://www.fnnews.com/rss/r20/fn_realnews_ent.xml
파이낸셜뉴스,스포츠,sports,https://www.fnnews.com/rss/r20/fn_realnews_sports.xml
파이낸셜뉴스,문화,culture,https://www.fnnews.com/rss/r20/fn_realnews_culture.xml
헤럴드경제,전체뉴스,_all_,https://biz.heraldcorp.com/rss/google/newsAll
헤럴드경제,경제금융,economy|finance,https://biz.heraldcorp.com/rss/google/economy
헤럴드경제,증권,stock,https://biz.heraldcorp.com/rss/google/finance
헤럴드경제,부동산,realestate,https://biz.heraldcorp.com/rss/google/realestate
헤럴드경제,산업,industry,https://biz.heraldcorp.com/rss/google/industry
헤럴드경제,정치,politics,https://biz.heraldcorp.com/rss/google/politics
헤럴드경제,사회,society,https://biz.heraldcorp.com/rss/google/society
헤럴드경제,국제,international,https://biz.heraldcorp.com/rss/google/world
헤럴드경제,IT과학,it,https://biz.heraldcorp.com/rss/google/it
헤럴드경제,생활문화,culture,https://biz.heraldcorp.com/rss/google/culture
헤럴드경제,오피니언,opinion,https://biz.heraldcorp.com/rss/google/opinion
헤럴드경제,연예,entertainment,https://biz.heraldcorp.com/rss/google/entertainment
헤럴드경제,스포츠,sports,https://biz.heraldcorp.com/rss/google/sports
아주경제,속보,_all_,https://www.ajunews.com/rss/sokbo.xml
아주경제,경제,economy,https://www.ajunews.com/rss/economy.xml
아주경제,산업,industry,https://www.ajunews.com/rss/industry.xml
아주경제,재테크,finance,https://www.ajunews.com/rss/investment.xml
아주경제,정치,politics,https://www.ajunews.com/rss/politics.xml
아주경제,사회,society,https://www.ajunews.com/rss/society.xml
아주경제,국제,international,https://www.ajunews.com/rss/global.xml
아주경제,AI,it,https://www.ajunews.com/rss/ai.xml
아주경제,문화연예,culture|entertainment,https://www.ajunews.com/rss/cultureentertainment.xml
